candidate_rank,acquisition_category,Formula,n_elements,PGM_total_at,max_element_at,pred_tafel_slope,pred_tafel_std,LCB_tafel,UCB_tafel,expected_improvement,nn_distance_magpie,nn_distance_percentile_vs_train,domain_label,nearest_training_formula,nearest_training_tafel_slope,nearest_training_DOI,Ag,Al,Au,Co,Cr,Cu,Fe,Ir,Mg,Mn,Mo,Ni,Pd,Pt,Rh,Ru,W,Zn
67,diversity_maximin,Ag30Cu40Fe20Zn10,4,0.0,40.0,65.65497393849243,44.78122124395052,20.873752694541913,110.43619518244296,2.761546326930011,2.1467026787553176,95.0,interpolation,Co36Cr15Fe20Mo10Ni19,66.0,10.1016/j.electacta.2018.05.035,30.0,0.0,0.0,0.0,0.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
68,diversity_maximin,Ag15Au10Co20Cu35Mo20,5,0.0,35.0,65.86873706578181,44.70693587398779,21.161801191794027,110.5756729397696,2.719932759523176,2.0751947114448654,93.88888888888889,interpolation,Co14Cu27Fe15Ni26Pt18,30.0,10.1038/s41467-020-19277-9,15.0,0.0,10.0,20.0,0.0,35.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,diversity_maximin,Ag20Co25Ir10Mg10Zn35,5,10.0,35.0,65.89090375054225,44.62326729376599,21.26763645677626,110.51417104430824,2.700210295527685,2.0828284461260287,93.88888888888889,interpolation,Ag6Al22Au6Co6Cu6Fe6Ir6Mo6Ni6Pd6Pt6Rh6Ru6,35.1,10.1039/d1sc01981c,20.0,0.0,0.0,25.0,0.0,0.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
70,diversity_maximin,Al10Au35Cu35Mn10Rh10,5,10.0,35.0,65.06553176114392,44.4259820763059,20.639549684838016,109.49151383744982,2.7620574555727018,1.9799567196574908,93.33333333333333,interpolation,Co50Fe11Mn8Ni16W15,31.0,10.1016/j.cej.2022.137452,0.0,10.0,35.0,0.0,0.0,35.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
71,diversity_maximin,Ag25Ni30Pd10Ru10Zn25,5,20.0,30.0,65.60361634193077,44.798689932867546,20.804926409063228,110.40230627479832,2.7715275088861944,2.101299721492007,95.0,interpolation,Co22Cu18Mg19Ni22Zn18,36.1,10.1016/j.cej.2021.132883,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,10.0,0.0,0.0,10.0,0.0,25.0
72,diversity_maximin,Mn35W35Zn30,3,0.0,35.0,62.21326481170925,43.9605150839353,18.252749727773953,106.17377989564454,3.036041135918862,2.100502143521493,95.0,interpolation,Co32Cu35Fe28Pd6,107.5,10.1016/j.apcatb.2022.121472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,30.0
73,diversity_maximin,Cu15Ni50W35,3,0.0,50.0,65.8136675766446,44.79515143165452,21.018516144990087,110.60881900829912,2.7447159553428797,2.089230099371817,94.44444444444444,interpolation,Al17Co12Cu23Fe11Mn10Ni27,113.1,10.1002/smtd.202301691,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,35.0,0.0
74,diversity_maximin,Au10Cu35Ni25Pd10W20,5,10.0,35.0,66.95289627245396,44.70961506562725,22.24328120682671,111.6625113380812,2.5897780693238843,2.0724344437835747,93.88888888888889,interpolation,Al15Co11Cu27Fe10Mn9Ni28,135.6,10.1002/smtd.202301691,0.0,0.0,10.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,0.0,0.0,0.0,20.0,0.0
75,diversity_maximin,Cr25Mg20Mn25Zn30,4,0.0,30.0,66.96763804408317,44.69169085619654,22.275947187886636,111.65932890027972,2.584493367754156,2.1307253326465765,95.0,interpolation,Co22Cu18Mg19Ni22Zn18,36.1,10.1016/j.cej.2021.132883,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
76,diversity_maximin,Al20Au10Co20Fe30Mg20,5,0.0,30.0,66.85887747592305,44.59100048067949,22.26787699524356,111.44987795660253,2.5774231226424362,2.0126387038801496,93.33333333333333,interpolation,Co36Cr15Fe20Mo10Ni19,66.0,10.1016/j.electacta.2018.05.035,0.0,20.0,10.0,20.0,0.0,0.0,30.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,diversity_maximin,Al25Fe30Mg20Zn25,4,0.0,30.0,66.59356226012642,44.73897792937029,21.854584330756126,111.33254018949671,2.638380812073616,2.005095539903048,93.33333333333333,interpolation,Al37Co24Cr4Fe19Ni15,128.12,10.1016/j.ijhydene.2024.05.350,0.0,25.0,0.0,0.0,0.0,0.0,30.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0
78,diversity_maximin,Co45Ni20W15Zn20,4,0.0,45.0,67.81407189889717,44.77504602093916,23.03902587795801,112.58911791983633,2.502337337067149,2.1592486602451904,95.0,interpolation,Co50Fe11Mn8Ni16W15,31.0,10.1016/j.cej.2022.137452,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,15.0,20.0
79,diversity_maximin,Ag40Al50Ir10,3,10.0,50.0,65.5967826171131,44.630941647115236,20.96584096999787,110.22772426422834,2.7379894083237337,1.91136439744239,92.77777777777779,interpolation,Co22Cu18Mg19Ni23Zn18,42.6,10.1016/j.cej.2021.132883,40.0,50.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,diversity_maximin,Au30Co20Fe25Ir10Ni15,5,10.0,30.0,65.61209561625557,44.79388811089722,20.81820750535835,110.4059837271528,2.769484045103275,2.1515276151575686,95.0,interpolation,Co18Cr14Cu28Fe22Ni18,62.0,10.1016/j.jmst.2023.05.040,0.0,0.0,30.0,20.0,0.0,0.0,25.0,10.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0
81,frontier_informative,Au35Mo30Ru10W25,4,10.0,35.0,69.29302213578208,45.08162173480828,24.2114004009738,114.37464387059036,2.3947158711992813,2.8558100825220185,98.88888888888889,frontier,Ag7Al23Au7Co7Cu7Fe7Ir7Ni7Pd7Pt7Rh7Ru7,38.3,10.1039/d1sc01981c,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,10.0,25.0,0.0
82,frontier_informative,Ag45Au35Cu10Pd10,4,10.0,45.0,70.04083786644613,45.134327922114934,24.90650994433119,115.17516578856106,2.323330573254472,2.8798058423710904,98.88888888888889,frontier,Co36Cr15Fe20Mo10Ni19,66.0,10.1016/j.electacta.2018.05.035,45.0,0.0,35.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
83,frontier_informative,Au25Ni40Rh10Zn25,4,10.0,40.0,67.93486132012046,45.09856956119871,22.836291758921753,113.03343088131916,2.5513191525239414,2.8088081080082152,98.88888888888889,frontier,Al25Cu25Mo25Ni25,58.0,10.1002/adfm.202009613,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,10.0,0.0,0.0,25.0
84,frontier_informative,Au35Cu25Mo30Pd10,4,10.0,35.0,69.56859695945542,45.12703028886989,24.44156667058553,114.69562724832531,2.373040809262778,2.802468811317156,98.88888888888889,frontier,Al33Cu33Ni33,148.0,10.1002/adfm.202009613,0.0,0.0,35.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
85,frontier_informative,Au15Cu25Mo40Pd10Pt10,5,20.0,40.0,68.98581120562935,45.08079066779419,23.905020537835156,114.06660187342354,2.4285499689641314,2.8668176883932452,98.88888888888889,frontier,Co22Cr13Fe17Ni30Pt18,59.0,10.1021/acsanm.2c02003,0.0,0.0,15.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,40.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0
86,frontier_informative,Ag20Au35Ir10Ni10W25,5,10.0,35.0,69.0256291203219,45.122050892270956,23.90357822805094,114.14768001259284,2.431942314385955,2.878790972045327,98.88888888888889,frontier,Co13Mn21Ni47Pd10Pt9,84.3,10.1002/adfm.202418644,20.0,0.0,35.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,25.0,0.0
87,frontier_informative,Al60Cr15W5Zn20,4,0.0,60.0,69.35927308102366,45.12238465232999,24.236888428693668,114.48165773335364,2.3950936380558705,2.8049268350754795,98.88888888888889,frontier,Co22Fe17Mg13Ni30Pt18,43.0,10.1021/acsanm.2c02003,0.0,60.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,20.0
88,frontier_informative,Au45Co15Ru10Zn30,4,10.0,45.0,69.18268061233503,45.12174178146864,24.06093883086639,114.30442239380368,2.414451122342479,2.859403388154679,98.88888888888889,frontier,Ag6Al22Au6Co6Cu6Fe6Ir6Mo6Ni6Pd6Pt6Rh6Ru6,35.1,10.1039/d1sc01981c,0.0,0.0,45.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,30.0
89,frontier_informative,Ag30Mo20W50,3,0.0,50.0,69.75744050033734,45.09385423129442,24.663586269042916,114.85129473163175,2.346347791856859,2.8968046774225114,98.88888888888889,frontier,Co15Cu15Fe15Mn15Mo23Ni15,147.0,10.1021/acsaem.3c03227,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0
90,frontier_informative,Ag35Cu30Mo25Zn10,4,0.0,35.0,69.57784506379956,45.115479410819596,24.462365652979962,114.69332447461915,2.3698740147067747,2.8206685354661505,98.88888888888889,frontier,Co22Cu19Fe20Ni20Pt19,28.1,10.1038/s41467-023-44261-4,35.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
91,frontier_informative,Au30Co20Cu20Zn30,4,0.0,30.0,68.98846603768212,45.119133903953625,23.86933213372849,114.10759994163574,2.435528820207489,2.8634460873176906,98.88888888888889,frontier,Co22Cu17Mg20Ni22Zn18,44.7,10.1016/j.cej.2021.132883,0.0,0.0,30.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
92,frontier_informative,Ag25Cr30Cu20Mg15Ni10,5,0.0,30.0,69.86853456388484,45.11856997348344,24.749964590401397,114.98710453736828,2.338938168493521,2.8950788879521494,98.88888888888889,frontier,Co12Fe9Mn25Mo31Ni23,29.0,10.1016/j.cej.2022.134898,25.0,0.0,0.0,0.0,30.0,20.0,0.0,0.0,15.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
93,frontier_informative,Au20Mo40Zn40,3,0.0,40.0,69.72195897873557,45.10992833293849,24.612030645797084,114.83188731167405,2.3531768125104007,2.8170382028631082,98.88888888888889,frontier,Cu34Fe4Mo11Ni10Pt41,32.0,10.1002/smll.202204255,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0
94,frontier_informative,Ag20Cu25Mo25W30,4,0.0,30.0,69.7647322277033,45.1317798053559,24.632952422347408,114.8965120330592,2.3526070161510484,2.830176119439957,98.88888888888889,frontier,Co17Cu17Fe17Mn17Mo17Ni17,139.0,10.1021/acsaem.3c03227,20.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
95,frontier_informative,Ag65Cu30Ir5,3,5.0,65.0,69.70715707764069,45.120799828302154,24.586357249338533,114.82795690594284,2.3568049275551655,2.8181264252928084,98.88888888888889,frontier,Al10Co9Cu36Fe8Mn6Ni31,112.4,10.1002/smtd.202301691,65.0,0.0,0.0,0.0,0.0,30.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,frontier_informative,Al30Ni35Zn35,3,0.0,35.0,73.15754541107407,45.141048362996926,28.01649704807714,118.298593774071,2.009703695175274,2.8654345484937744,98.88888888888889,frontier,Cu31Fe5Mo9Ni20Pt34Ru1,27.0,10.1002/smll.202204255,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,35.0
97,frontier_informative,Ag15Cr20Cu40Mg15Pt10,5,10.0,40.0,70.28938084630508,45.1180909225932,25.171289923711882,115.40747176889828,2.2938414302174888,2.821481493863561,98.88888888888889,frontier,Al25Co25Ni25Ru25,35.5,10.1021/acsmaterialslett.0c00434,15.0,0.0,0.0,0.0,20.0,40.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0
98,frontier_informative,Cr25Mg35Mn40,3,0.0,40.0,70.09932072415157,45.119764202007815,24.979556522143753,115.21908492615938,2.3143862656337415,2.872296795662915,98.88888888888889,frontier,Co24Mo17Ni24Ru7W28,36.0,10.1016/j.cej.2022.135375,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,35.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,frontier_informative,Cu15Mo50Ni35,3,0.0,50.0,69.16321010803144,45.086070842537595,24.07713926549384,114.24928095056903,2.4098704706998406,2.9033557765014266,98.88888888888889,frontier,Co17Cu17Fe17Mn17Mo17Ni17,139.0,10.1021/acsaem.3c03227,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,50.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
100,frontier_informative,Ag20Al20Cr25Ir10Mo25,5,10.0,25.0,70.4216512192498,45.117138731000125,25.30451248824967,115.53878995024992,2.2796707313267763,2.8799927738431252,98.88888888888889,frontier,Co22Cu18Mg19Ni22Zn18,36.1,10.1016/j.cej.2021.132883,20.0,20.0,0.0,0.0,25.0,0.0,0.0,10.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
